codigo_ibge,municipio,municipio_normalizado,populacao
2300101,Abaiara - CE,ABAIARA - CE,10038
2300150,Acarape - CE,ACARAPE - CE,14027
2300200,Acaraú - CE,ACARAU - CE,65264
2300309,Acopiara - CE,ACOPIARA - CE,44962
2300408,Aiuaba - CE,AIUABA - CE,14076
2300507,Alcântaras - CE,ALCANTARAS - CE,11369
2300606,Altaneira - CE,ALTANEIRA - CE,6782
2300705,Alto Santo - CE,ALTO SANTO - CE,14155
2300754,Amontada - CE,AMONTADA - CE,42156
2300804,Antonina do Norte - CE,ANTONINA DO NORTE - CE,7245
2300903,Apuiarés - CE,APUIARES - CE,12928
2301000,Aquiraz - CE,AQUIRAZ - CE,80645
2301109,Aracati - CE,ARACATI - CE,75113
2301208,Aracoiaba - CE,ARACOIABA - CE,25553
2301257,Ararendá - CE,ARARENDA - CE,11096
2301307,Araripe - CE,ARARIPE - CE,19783
2301406,Aratuba - CE,ARATUBA - CE,11224
2301505,Arneiroz - CE,ARNEIROZ - CE,7429
2301604,Assaré - CE,ASSARE - CE,21697
2301703,Aurora - CE,AURORA - CE,23714
2301802,Baixio - CE,BAIXIO - CE,5704
2301851,Banabuiú - CE,BANABUIU - CE,17195
2301901,Barbalha - CE,BARBALHA - CE,75033
2301950,Barreira - CE,BARREIRA - CE,22392
2302008,Barro - CE,BARRO - CE,19381
2302057,Barroquinha - CE,BARROQUINHA - CE,14567
2302107,Baturité - CE,BATURITE - CE,35218
2302206,Beberibe - CE,BEBERIBE - CE,53114
2302305,Bela Cruz - CE,BELA CRUZ - CE,32775
2302404,Boa Viagem - CE,BOA VIAGEM - CE,50411
2302503,Brejo Santo - CE,BREJO SANTO - CE,51090
2302602,Camocim - CE,CAMOCIM - CE,62326
2302701,Campos Sales - CE,CAMPOS SALES - CE,25135
2302800,Canindé - CE,CANINDE - CE,74174
2302909,Capistrano - CE,CAPISTRANO - CE,17254
2303006,Caridade - CE,CARIDADE - CE,16377
2303204,Caririaçu - CE,CARIRIACU - CE,26320
2303105,Cariré - CE,CARIRE - CE,17632
2303303,Cariús - CE,CARIUS - CE,17015
2303402,Carnaubal - CE,CARNAUBAL - CE,17210
2303501,Cascavel - CE,CASCAVEL - CE,72720
2303600,Catarina - CE,CATARINA - CE,10243
2303659,Catunda - CE,CATUNDA - CE,10444
2303709,Caucaia - CE,CAUCAIA - CE,355679
2303808,Cedro - CE,CEDRO - CE,22344
2303907,Chaval - CE,CHAVAL - CE,12462
2303956,Chorozinho - CE,CHOROZINHO - CE,20163
2303931,Choró - CE,CHORO - CE,12113
2304004,Coreaú - CE,COREAU - CE,20953
2304103,Crateús - CE,CRATEUS - CE,76390
2304202,Crato - CE,CRATO - CE,131050
2304236,Croatá - CE,CROATA - CE,17481
2304251,Cruz - CE,CRUZ - CE,29761
2304269,Deputado Irapuan Pinheiro - CE,DEPUTADO IRAPUAN PINHEIRO - CE,8932
2304277,Ereré - CE,ERERE - CE,6474
2304285,Eusébio - CE,EUSEBIO - CE,74170
2304301,Farias Brito - CE,FARIAS BRITO - CE,18217
2304350,Forquilha - CE,FORQUILHA - CE,24173
2304400,Fortaleza - CE,FORTALEZA - CE,2428708
2304459,Fortim - CE,FORTIM - CE,17294
2304509,Frecheirinha - CE,FRECHEIRINHA - CE,15657
2304608,General Sampaio - CE,GENERAL SAMPAIO - CE,6734
2304707,Granja - CE,GRANJA - CE,53344
2304806,Granjeiro - CE,GRANJEIRO - CE,4841
2304657,Graça - CE,GRACA - CE,13801
2304905,Groaíras - CE,GROAIRAS - CE,10910
2304954,Guaiúba - CE,GUAIUBA - CE,24325
2305001,Guaraciaba do Norte - CE,GUARACIABA DO NORTE - CE,42053
2305100,Guaramiranga - CE,GUARAMIRANGA - CE,5654
2305209,Hidrolândia - CE,HIDROLANDIA - CE,17855
2305233,Horizonte - CE,HORIZONTE - CE,74755
2305266,Ibaretama - CE,IBARETAMA - CE,11956
2305308,Ibiapina - CE,IBIAPINA - CE,23965
2305332,Ibicuitinga - CE,IBICUITINGA - CE,11611
2305357,Icapuí - CE,ICAPUI - CE,21433
2305407,Icó - CE,ICO - CE,62642
2305506,Iguatu - CE,IGUATU - CE,98064
2305605,Independência - CE,INDEPENDENCIA - CE,24024
2305654,Ipaporanga - CE,IPAPORANGA - CE,11575
2305704,Ipaumirim - CE,IPAUMIRIM - CE,12083
2305803,Ipu - CE,IPU - CE,41081
2305902,Ipueiras - CE,IPUEIRAS - CE,36798
2306009,Iracema - CE,IRACEMA - CE,14001
2306108,Irauçuba - CE,IRAUCUBA - CE,23915
2306256,Itaitinga - CE,ITAITINGA - CE,64650
2306207,Itaiçaba - CE,ITAICABA - CE,7536
2306306,Itapajé - CE,ITAPAJE - CE,46426
2306405,Itapipoca - CE,ITAPIPOCA - CE,131123
2306504,Itapiúna - CE,ITAPIUNA - CE,17841
2306553,Itarema - CE,ITAREMA - CE,42957
2306603,Itatira - CE,ITATIRA - CE,20424
2306702,Jaguaretama - CE,JAGUARETAMA - CE,17232
2306801,Jaguaribara - CE,JAGUARIBARA - CE,10356
2306900,Jaguaribe - CE,JAGUARIBE - CE,33726
2307007,Jaguaruana - CE,JAGUARUANA - CE,31701
2307106,Jardim - CE,JARDIM - CE,27411
2307205,Jati - CE,JATI - CE,7861
2307254,Jijoca de Jericoacoara - CE,JIJOCA DE JERICOACOARA - CE,25555
2307304,Juazeiro do Norte - CE,JUAZEIRO DO NORTE - CE,286120
2307403,Jucás - CE,JUCAS - CE,23922
2307502,Lavras da Mangabeira - CE,LAVRAS DA MANGABEIRA - CE,30802
2307601,Limoeiro do Norte - CE,LIMOEIRO DO NORTE - CE,59560
2307635,Madalena - CE,MADALENA - CE,16896
2307650,Maracanaú - CE,MARACANAU - CE,234509
2307700,Maranguape - CE,MARANGUAPE - CE,105093
2307809,Marco - CE,MARCO - CE,25799
2307908,Martinópole - CE,MARTINOPOLE - CE,10846
2308005,Massapê - CE,MASSAPE - CE,37697
2308104,Mauriti - CE,MAURITI - CE,45561
2308203,Meruoca - CE,MERUOCA - CE,15157
2308302,Milagres - CE,MILAGRES - CE,25900
2308351,Milhã - CE,MILHA - CE,14123
2308377,Miraíma - CE,MIRAIMA - CE,14196
2308401,Missão Velha - CE,MISSAO VELHA - CE,36822
2308500,Mombaça - CE,MOMBACA - CE,37735
2308609,Monsenhor Tabosa - CE,MONSENHOR TABOSA - CE,17149
2308708,Morada Nova - CE,MORADA NOVA - CE,61443
2308807,Moraújo - CE,MORAUJO - CE,8254
2308906,Morrinhos - CE,MORRINHOS - CE,22753
2309003,Mucambo - CE,MUCAMBO - CE,13666
2309102,Mulungu - CE,MULUNGU - CE,10569
2309201,Nova Olinda - CE,NOVA OLINDA - CE,15399
2309300,Nova Russas - CE,NOVA RUSSAS - CE,30699
2309409,Novo Oriente - CE,NOVO ORIENTE - CE,27545
2309458,Ocara - CE,OCARA - CE,24493
2309508,Orós - CE,OROS - CE,19675
2309607,Pacajus - CE,PACAJUS - CE,70983
2309706,Pacatuba - CE,PACATUBA - CE,81524
2309805,Pacoti - CE,PACOTI - CE,11186
2309904,Pacujá - CE,PACUJA - CE,6175
2310001,Palhano - CE,PALHANO - CE,9346
2310100,Palmácia - CE,PALMACIA - CE,10242
2310209,Paracuru - CE,PARACURU - CE,38980
2310258,Paraipaba - CE,PARAIPABA - CE,32216
2310308,Parambu - CE,PARAMBU - CE,31445
2310407,Paramoti - CE,PARAMOTI - CE,10384
2310506,Pedra Branca - CE,PEDRA BRANCA - CE,40187
2310605,Penaforte - CE,PENAFORTE - CE,8972
2310704,Pentecoste - CE,PENTECOSTE - CE,37813
2310803,Pereiro - CE,PEREIRO - CE,15274
2310852,Pindoretama - CE,PINDORETAMA - CE,23391
2310902,Piquet Carneiro - CE,PIQUET CARNEIRO - CE,16616
2310951,Pires Ferreira - CE,PIRES FERREIRA - CE,10606
2311009,Poranga - CE,PORANGA - CE,12065
2311108,Porteiras - CE,PORTEIRAS - CE,17050
2311207,Potengi - CE,POTENGI - CE,8833
2311231,Potiretama - CE,POTIRETAMA - CE,5974
2311264,Quiterianópolis - CE,QUITERIANOPOLIS - CE,20213
2311306,Quixadá - CE,QUIXADA - CE,84168
2311355,Quixelô - CE,QUIXELO - CE,15910
2311405,Quixeramobim - CE,QUIXERAMOBIM - CE,82177
2311504,Quixeré - CE,QUIXERE - CE,20874
2311603,Redenção - CE,REDENCAO - CE,27214
2311702,Reriutaba - CE,RERIUTABA - CE,18606
2311801,Russas - CE,RUSSAS - CE,72928
2311900,Saboeiro - CE,SABOEIRO - CE,13854
2311959,Salitre - CE,SALITRE - CE,16633
2312205,Santa Quitéria - CE,SANTA QUITERIA - CE,40183
2312007,Santana do Acaraú - CE,SANTANA DO ACARAU - CE,30628
2312106,Santana do Cariri - CE,SANTANA DO CARIRI - CE,16954
2312700,Senador Pompeu - CE,SENADOR POMPEU - CE,24266
2312809,Senador Sá - CE,SENADOR SA - CE,7262
2312908,Sobral - CE,SOBRAL - CE,203023
2313005,Solonópole - CE,SOLONOPOLE - CE,18179
2312304,São Benedito - CE,SAO BENEDITO - CE,47640
2312403,São Gonçalo do Amarante - CE,SAO GONCALO DO AMARANTE - CE,54143
2312502,São João do Jaguaribe - CE,SAO JOAO DO JAGUARIBE - CE,5855
2312601,São Luís do Curu - CE,SAO LUIS DO CURU - CE,10822
2313104,Tabuleiro do Norte - CE,TABULEIRO DO NORTE - CE,30652
2313203,Tamboril - CE,TAMBORIL - CE,24815
2313252,Tarrafas - CE,TARRAFAS - CE,7529
2313302,Tauá - CE,TAUA - CE,61227
2313351,Tejuçuoca - CE,TEJUCUOCA - CE,17154
2313401,Tianguá - CE,TIANGUA - CE,81506
2313500,Trairi - CE,TRAIRI - CE,58415
2313559,Tururu - CE,TURURU - CE,15412
2313609,Ubajara - CE,UBAJARA - CE,32767
2313708,Umari - CE,UMARI - CE,6871
2313757,Umirim - CE,UMIRIM - CE,17470
2313807,Uruburetama - CE,URUBURETAMA - CE,20189
2313906,Uruoca - CE,URUOCA - CE,13746
2313955,Varjota - CE,VARJOTA - CE,18105
2314102,Viçosa do Ceará - CE,VICOSA DO CEARA - CE,59712
2314003,Várzea Alegre - CE,VARZEA ALEGRE - CE,38984
